Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.2339454788238755775090180997,0.233945478823876,0.233945478823876,0.233945478823876,0.233945478823876,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,1011852
0.02,0,0.2381663688646480558454583737,0.238166368864648,0.238166368864648,0.238166368864648,0.238166368864648,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,2023705
0.03,0,0.2328167277058928485072887428,0.232816727705893,0.232816727705893,0.232816727705893,0.232816727705893,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,3035557
0.04,0,0.2272296081232088214985416776,0.227229608123209,0.227229608123209,0.227229608123209,0.227229608123209,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,4047410
0.05,0,0.2222839859186307534640680449,0.222283985918631,0.222283985918631,0.222283985918631,0.222283985918631,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,5059262
0.06,0,0.2194951346343920106023863652,0.219495134634392,0.219495134634392,0.219495134634392,0.219495134634392,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,6071114
0.07,0,0.2171431014767056261570025025,0.217143101476706,0.217143101476706,0.217143101476706,0.217143101476706,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,7082966
0.08,0,0.2149735111036395737925410115,0.21497351110364,0.21497351110364,0.21497351110364,0.21497351110364,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,8094819
0.09,0,0.2129802848469726754180339965,0.212980284846973,0.212980284846973,0.212980284846973,0.212980284846973,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,9106672
0.10,0,0.2111476525939734170758206161,0.211147652593973,0.211147652593973,0.211147652593973,0.211147652593973,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,10118520
0.11,0,0.2094580649443582789020465697,0.209458064944358,0.209458064944358,0.209458064944358,0.209458064944358,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,11130380
0.12,0,0.2078950280225462868496777078,0.207895028022546,0.207895028022546,0.207895028022546,0.207895028022546,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,12142230
0.13,0,0.2064438022833918344914914777,0.206443802283392,0.206443802283392,0.206443802283392,0.206443802283392,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,13154080
0.14,0,0.2050915811820090748337188988,0.205091581182009,0.205091581182009,0.205091581182009,0.205091581182009,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,14165930
0.15,0,0.2038260754497188477702361899,0.203826075449719,0.203826075449719,0.203826075449719,0.203826075449719,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,15177790
0.16,0,0.2026402956743901863051023901,0.20264029567439,0.20264029567439,0.20264029567439,0.20264029567439,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,16189640
0.17,0,0.2015248194522208264170109601,0.201524819452221,0.201524819452221,0.201524819452221,0.201524819452221,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,17201490
0.18,0,0.2004725931416177342313440622,0.200472593141618,0.200472593141618,0.200472593141618,0.200472593141618,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,18213340
0.19,0,0.1994775044398721943457979134,0.199477504439872,0.199477504439872,0.199477504439872,0.199477504439872,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,19225190
0.20,0,0.1985342253606878106423957036,0.198534225360688,0.198534225360688,0.198534225360688,0.198534225360688,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,20237050
0.21,0,0.1976381257933903941044445443,0.19763812579339,0.19763812579339,0.19763812579339,0.19763812579339,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,21248900
0.22,0,0.1967851154414416030966920343,0.196785115441442,0.196785115441442,0.196785115441442,0.196785115441442,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,22260750
0.23,0,0.1959715889887720439752813987,0.195971588988772,0.195971588988772,0.195971588988772,0.195971588988772,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,23272610
0.24,0,0.1951943779487218276725857628,0.195194377948722,0.195194377948722,0.195194377948722,0.195194377948722,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,24284460
0.25,0,0.1944506438929385234029234616,0.194450643892939,0.194450643892939,0.194450643892939,0.194450643892939,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,25296310
0.26,0,0.1937825137765325178511274150,0.193782513776533,0.193782513776533,0.193782513776533,0.193782513776533,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,26308160
0.27,0,0.1931430687132114594801700688,0.193143068713211,0.193143068713211,0.193143068713211,0.193143068713211,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,27320020
0.28,0,0.1925302726634742254596260903,0.192530272663474,0.192530272663474,0.192530272663474,0.192530272663474,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,28331870
0.29,0,0.1919423259369667695718613146,0.191942325936967,0.191942325936967,0.191942325936967,0.191942325936967,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,29343720
0.30,0,0.1913775550093657388468140382,0.191377555009366,0.191377555009366,0.191377555009366,0.191377555009366,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,30355570
0.31,0,0.1908344594824336255596301962,0.190834459482434,0.190834459482434,0.190834459482434,0.190834459482434,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,31367420
0.32,0,0.1903116508594642012833036435,0.190311650859464,0.190311650859464,0.190311650859464,0.190311650859464,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,32379280
0.33,0,0.1898079342220719295906642800,0.189807934222072,0.189807934222072,0.189807934222072,0.189807934222072,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,33391130
0.34,0,0.1893221484946670616393994639,0.189322148494667,0.189322148494667,0.189322148494667,0.189322148494667,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,34402980
0.35,0,0.1888532524492183539907007661,0.188853252449218,0.188853252449218,0.188853252449218,0.188853252449218,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,35414830
0.36,0,0.1884002852248872248590650816,0.188400285224887,0.188400285224887,0.188400285224887,0.188400285224887,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,36426690
0.37,0,0.1879623582056953612844560429,0.187962358205695,0.187962358205695,0.187962358205695,0.187962358205695,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,37438540
0.38,0,0.1875386928427775044989821953,0.187538692842778,0.187538692842778,0.187538692842778,0.187538692842778,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,38450390
0.39,0,0.1871285210447011238970872399,0.187128521044701,0.187128521044701,0.187128521044701,0.187128521044701,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,39462240
0.40,0,0.1867311449517230134399280852,0.186731144951723,0.186731144951723,0.186731144951723,0.186731144951723,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,40474100
0.41,0,0.1863459114453857388385450134,0.186345911445386,0.186345911445386,0.186345911445386,0.186345911445386,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,41485950
0.42,0,0.1859722563311499965944865695,0.18597225633115,0.18597225633115,0.18597225633115,0.18597225633115,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,42497800
0.43,0,0.1856096051494483522591586511,0.185609605149448,0.185609605149448,0.185609605149448,0.185609605149448,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,43509650
0.44,0,0.1852574401122266779342250603,0.185257440112227,0.185257440112227,0.185257440112227,0.185257440112227,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,44521500
0.45,0,0.1849152554795074863274658741,0.184915255479508,0.184915255479508,0.184915255479508,0.184915255479508,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,45533360
0.46,0,0.1845826448668080410392034223,0.184582644866808,0.184582644866808,0.184582644866808,0.184582644866808,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,46545210
0.47,0,0.1842591630452987573650036555,0.184259163045299,0.184259163045299,0.184259163045299,0.184259163045299,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,47557060
0.48,0,0.1839444140178959138898917262,0.183944414017896,0.183944414017896,0.183944414017896,0.183944414017896,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,48568910
0.49,0,0.1836380040327394210664128743,0.183638004032739,0.183638004032739,0.183638004032739,0.183638004032739,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,49580770
0.50,0,0.1833396285161852400864304329,0.183339628516185,0.183339628516185,0.183339628516185,0.183339628516185,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,50592620
0.51,0,0.1830489368959381389819994691,0.183048936895938,0.183048936895938,0.183048936895938,0.183048936895938,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,51604470
0.52,0,0.1827656200468762973425854209,0.182765620046876,0.182765620046876,0.182765620046876,0.182765620046876,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,52616320
0.53,0,0.1824893865726384340686751477,0.182489386572638,0.182489386572638,0.182489386572638,0.182489386572638,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,53628170
0.54,0,0.1822199396571220844640587416,0.182219939657122,0.182219939657122,0.182219939657122,0.182219939657122,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,54640030
0.55,0,0.1819570632983418058122294563,0.181957063298342,0.181957063298342,0.181957063298342,0.181957063298342,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,55651880
0.56,0,0.1817887989484848931482001468,0.181788798948485,0.181788798948485,0.181788798948485,0.181788798948485,0,0,0,0,6.6282659668330365352705543938,128.50911429029324495817226129,120.96183102562859817780583168,56663730
